status	file	expr	expected	got	reason
FAIL	math/JoinTo.sli	/j [4 5] def [6 7 8] /j JoinTo j -	[4 5 6 7 8]	May 22 10:17:42 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	math/JoinTo.sli	<< /Tau_m 25.0 /I_e 130.0 >> /j JoinTo j -	<< /C_m 250.0 /Tau_m 25.0 /I_e 130.0 >>	May 22 10:17:42 load [M_ERROR]: UndefinedName Key '/j' does not exist in dictionary.	output mismatch
PASS	math/Last.sli	(train) Last	110	110	
PASS	math/Last.sli	[1 2 3] Last	3	3	
PASS	math/Last.sli	[(this) (is) (an) (example)] Last	(example)	(example)	
PASS	math/LayoutArray.sli	[5] 1 LayoutArray	[1 1 1 1 1]	[1 1 1 1 1]	
FAIL	math/LayoutArray.sli	[2 3] 1.0 LayoutArray	[ [1.0 1.0 1.0] [1.0 1.0 1.0]]	[[1 1 1] [1 1 1]]	output mismatch
PASS	math/MapIndexed.sli	[1 2 3 4 5]  {add} MapIndexed	[2 4 6 8 10]	[2 4 6 8 10]	
PASS	math/MapIndexed.sli	(abcd) {add} MapIndexed	(bdfh)	(bdfh)	
FAIL	math/MathematicaToSliIndex.sli	[3 5 6 9 11] -2       MathematicaToSliIndex	[3 5 6 9 11] 3	3	output mismatch
FAIL	math/MathematicaToSliIndex.sli	[3 5 6 9 11] [ -2 2 ] MathematicaToSliIndex	[3 5 6 9 11] [3 1]	[0 1]	output mismatch
PASS	math/MatrixQ.sli	[1 2 3] MatrixQ	true	true	
PASS	math/MatrixQ.sli	[[1 2] [3 4]] MatrixQ	true	true	
FAIL	math/MatrixQ.sli	[[1] [2 3]] MatrixQ	False	true	output mismatch
FAIL	math/Max.sli	[8 4 3 6 9 5] Max -	9	May 22 10:17:42 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	math/Mean.sli	[8 4 3 6 9 5] Mean -	5.833	May 22 10:17:42 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	math/MemberQ.sli	[3 8 2 9 -1] 2 MemberQ -	true	May 22 10:17:42 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	math/MemberQ.sli	[3 8 9 -1]   2 MemberQ -	false	May 22 10:17:42 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
PASS	math/MergeLists.sli	[1 3 5] [2 7] MergeLists	[1 2 3 5 7]	[1 2 3 5 7]	
FAIL	math/Min.sli	[8 4 3 6 9 5] Min -	3	May 22 10:17:42 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
PASS	math/Most.sli	(computer) Most	(compute)	(compute)	
PASS	math/Most.sli	[1 2 3] Most	[1 2]	[1 2]	
FAIL	math/Most.sli	[(this) (is) (an) (example)] Rest	[(this) (is) (an)]	[(is) (an) (example)]	output mismatch
FAIL	math/Mul.sli	3 4         Mul	12	May 22 10:17:42 Mul [M_ERROR]: ArgumentType The type of the first parameter did not match the argument(s) of this function.	output mismatch
FAIL	math/Mul.sli	3.33 3      Mul	9.99	May 22 10:17:42 Mul [M_ERROR]: ArgumentType The type of the first parameter did not match the argument(s) of this function.	output mismatch
PASS	math/Mul.sli	[1 2.2 3] 4 Mul	[4 8.8 12]	[4 8.8 12]	
PASS	math/NestList.sli	1 {2 mul} 3 NestList	[1 2 4 8]	[1 2 4 8]	
FAIL	math/Part.sli	[ [3 5 6 9] [11 4 7 2] [-9 1 8 10] ]  [ [1 3] [2 3] ] Part  -	[[5 6] [1 8]]	May 22 10:17:42 Part [M_ERROR]: ArgumentType The type of the first parameter did not match the argument(s) of this function.	output mismatch
FAIL	math/Part.sli	[ [3 [-12 -19] 6 9] [11 4 7 2] [-9 1 8 10] ]  [ 1 2 2] Part -	-19	May 22 10:17:42 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	math/Part.sli	[3 4 5 6 7] [-2] Part                                   -	6	May 22 10:17:42 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	math/Part.sli	[3 [-9 -12] 5 6 7] [2] Part                             -	[-9 -12]	May 22 10:17:42 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	math/Part.sli	[3 [-9 -12] 5 6 7] [2 2] Part                           -	-12	May 22 10:17:42 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	math/Part.sli	[3 [-9 -12] 5 6 7] [[2 3]] Part                         -	[[-9 -12] 5]	May 22 10:17:42 Part [M_ERROR]: ArgumentType The type of the first parameter did not match the argument(s) of this function.	output mismatch
FAIL	math/Part.sli	[3 [-9 -12] 5 6 7] [[2 3 2]] Part                       -	[[-9 -12] 5 [-9 -12]]	May 22 10:17:42 Part [M_ERROR]: ArgumentType The type of the first parameter did not match the argument(s) of this function.	output mismatch
FAIL	math/Part.sli	[ [3 5 6 9] [11 4 7 2] [-9 1 8 10] ]  [ 1 []  ] Part    -	[]	May 22 10:17:43 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	math/Part.sli	[ [3 5 6 9] [11 4 7 2] [-9 1 8 10] ]  [ [] 1 ] Part     -	[]	May 22 10:17:43 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	math/Part.sli	[3 [5 -12] 6 9]  [ [ 2 ] ] Part                         -	[[5 -12]]	May 22 10:17:43 get [M_ERROR]: RangeCheck	output mismatch
FAIL	math/Part.sli	[3 [5 -12] 6 9]  [ [ 2 ] 2] Part                        -	[-12]	May 22 10:17:43 get [M_ERROR]: RangeCheck	output mismatch
FAIL	math/Part.sli	[ [3 5 6 9] [11 4 7 2] [-9 1 8 10] ]  [ /All [3 2]  ] Part -	[[6 5] [7 4] [8 1]]	May 22 10:17:43 Part [M_ERROR]: ArgumentType The type of the first parameter did not match the argument(s) of this function.	output mismatch
PASS	math/Partition.sli	[1 2 3 4 5 6 7 8 9 10]  2 2 Partition	[[1 2] [3 4] [5 6] [7 8] [9 10]]	[[1 2] [3 4] [5 6] [7 8] [9 10]]	
FAIL	math/Partition.sli	[1 2 3 4 5 6 7 8 9 10]  1 2 Partition	[[1] [3] [5] [7] [9] [10]]	[[1] [3] [5] [7] [9]]	output mismatch
PASS	math/Partition.sli	[4 5 6 7 8] 2     Partition	[[4 5] [6 7]]	[[4 5] [6 7]]	
PASS	math/Partition.sli	[4 5 6]     2 5   Partition	[[4 5]]	[[4 5]]	
PASS	math/Partition.sli	[4 5 6]     5 1   Partition	[]	[]	
PASS	math/Partition.sli	[4 5 6]     5 7   Partition	[]	[]	
FAIL	math/Plus.sli	[4 3 2 5 6] Plus -	20	May 22 10:17:43 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	math/Plus.sli	[ ] Plus         -	0	May 22 10:17:43 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
PASS	math/Range.sli	[5] Range	[1 2 3 4 5]	[1 2 3 4 5]	
PASS	math/Range.sli	[2 5] Range	[2 3 4 5]	[2 3 4 5]	
PASS	math/Range.sli	[5 2] Range	[]	[]	
PASS	math/Range.sli	[5 2 -1] Range	[5 4 3 2]	[5 4 3 2]	
PASS	math/Range.sli	[1.0 10.0 2.5] Range	[1 3.5 6 8.5]	[1 3.5 6 8.5]	
PASS	math/Rest.sli	(train) Rest	(rain)	(rain)	
PASS	math/Rest.sli	[1 2 3] Rest	[2 3]	[2 3]	
PASS	math/Rest.sli	[(this) (is) (an) (example)] Rest	[(is) (an) (example)]	[(is) (an) (example)]	
PASS	math/SliToMathematicaIndex.sli	3     SliToMathematicaIndex	4	4	
FAIL	math/SliToMathematicaIndex.sli	[ 3 1 ] SliToMathematicaIndex	[ 4 2 ]	[4 2]	output mismatch
FAIL	math/Split.sli	[1 1 1 2 2 3 3 3 3 4 4 4] Split	[[1 1 1] [2 2] [3 3 3 3] [4 4 4]]	May 22 10:17:43 Part [M_ERROR]: ArgumentType The type of the first parameter did not match the argument(s) of this function.	output mismatch
PASS	math/Split.sli	[1] Split	[[1]]	[[1]]	
PASS	math/Split.sli	[] Split	[]	[]	
FAIL	math/StandardDeviation.sli	[8 4 3 6 9 5] StandardDeviation -	2.3166	May 22 10:17:43 sub [M_ERROR]: ArgumentType	output mismatch
FAIL	math/Sub.sli	5 2   Sub	3	May 22 10:17:43 Sub [M_ERROR]: ArgumentType The type of the first parameter did not match the argument(s) of this function.	output mismatch
FAIL	math/Sub.sli	5.0 2 Sub	3.0	May 22 10:17:43 Sub [M_ERROR]: ArgumentType The type of the first parameter did not match the argument(s) of this function.	output mismatch
PASS	math/Sub.sli	[5 7] [3 4] Sub	[2 3]	[2 3]	
PASS	math/Sub.sli	[3 4] 1 Sub	[2 3]	[2 3]	
PASS	math/SubsetQ.sli	<< /a 1 /b 2 /c 2 >> << /c 2 >> SubsetQ	true	true	
PASS	math/Table.sli	[5] {2 mul} Table	[2 4 6 8 10]	[2 4 6 8 10]	
PASS	math/Table.sli	[2 5] {2 mul} Table	[4 6 8 10]	[4 6 8 10]	
FAIL	math/Table.sli	[1.0 10.0 2.5] {2 mul} Table	[2.0 7.0 12.0 17.0]	[2 7 12 17]	output mismatch
FAIL	math/Take.sli	[4 9 -7 3 2 11] 2 Take    -	[4 9]	May 22 10:17:43 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	math/Take.sli	[4 9 -7 3 2 11] -2 Take   -	[2 11]	May 22 10:17:43 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	math/Take.sli	[1 2 3 4 5] [-2] Take     -	4	May 22 10:17:43 switchdefault [M_ERROR]: UndefinedName Key '/::pop' does not exist in dictionary.	output mismatch
FAIL	math/Take.sli	[1 2 3 4 5] [1 -2] Take   -	[1 2 3 4]	May 22 10:17:43 switchdefault [M_ERROR]: UndefinedName Key '/::pop' does not exist in dictionary.	output mismatch
FAIL	math/Take.sli	[1 2 3 4 5] [1 -2 2] Take -	[1 3]	May 22 10:17:43 switchdefault [M_ERROR]: UndefinedName Key '/::pop' does not exist in dictionary.	output mismatch
FAIL	math/Take.sli	[1 2 3 4 5] [1 -1 2] Take -	[1 3 5]	May 22 10:17:43 switchdefault [M_ERROR]: UndefinedName Key '/::pop' does not exist in dictionary.	output mismatch
FAIL	math/Take.sli	% [1 2 3 4 5] [1 6] Take    -	[Error]: RangeCheck		output mismatch
FAIL	math/Take.sli	(HAL) {1 add} Map     -	(IBM)	May 22 10:17:43 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	math/Take.sli	(HAL) 2 Take          -	(HA)	May 22 10:17:43 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	math/Take.sli	(HAL) -2 Take         -	(AL)	May 22 10:17:43 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	math/Take.sli	(HALLO) [-2] Take     -	76	May 22 10:17:43 switchdefault [M_ERROR]: UndefinedName Key '/::pop' does not exist in dictionary.	output mismatch
FAIL	math/Take.sli	(HALLO) [1 -2] Take   -	(HALL)	May 22 10:17:43 switchdefault [M_ERROR]: UndefinedName Key '/::pop' does not exist in dictionary.	output mismatch
FAIL	math/Take.sli	(HALLO) [1 -2 2] Take -	(HL)	May 22 10:17:43 switchdefault [M_ERROR]: UndefinedName Key '/::pop' does not exist in dictionary.	output mismatch
FAIL	math/Take.sli	(HALLO) [1 -1 2] Take -	(HLO)	May 22 10:17:43 switchdefault [M_ERROR]: UndefinedName Key '/::pop' does not exist in dictionary.	output mismatch
PASS	math/TensorRank.sli	[1 2 3] TensorRank	1	1	
PASS	math/TensorRank.sli	[[1 2] [3 4]] TensorRank	2	2	
FAIL	math/Times.sli	[4 3 2 5 6] Times -	720	May 22 10:17:43 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	math/Times.sli	[] Times          -	1	May 22 10:17:43 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
SKIP	math/ToMathematicaExpression.sli	({i	6, s -> "hello"})		multi-value stack
FAIL	math/Total.sli	[8 4 3 6 9 5] Total -	35	May 22 10:17:43 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	math/Variance.sli	[8 4 3 6 9 5] Variance -	5.366	May 22 10:17:43 sub [M_ERROR]: ArgumentType	output mismatch
PASS	math/abs_d.sli	-3.456 abs_d	3.456	3.456	
PASS	math/abs_i.sli	-3 abs_i	3	3	
FAIL	math/acos.sli	1.0 acos	0.0	0	output mismatch
PASS	math/and.sli	true true and	true	true	
PASS	math/and.sli	10   24   and	8	8	
PASS	math/asin.sli	1.0 asin	1.570796	1.5708	
PASS	math/cos.sli	1.0 cos	0.540302	0.540302	
SKIP	math/dexp.sli	-5 dexp frexp	0.5 -4		multi-value stack
PASS	math/exp.sli	1.0 exp	2.71828	2.71828	
SKIP	math/frexp.sli	-5 dexp frexp	0.5 -4		multi-value stack
PASS	math/inv.sli	2.0 inv	0.5	0.5	
PASS	math/ldexp.sli	1.5 3 ldexp	12	12	
SKIP	math/ldexp.sli	12.0 frexp	0.75 4		multi-value stack
FAIL	math/ldexp.sli	12.0 frexp ldexp	12.0	12	output mismatch
SKIP	math/ldexp.sli	1.0 -5 ldexp frexp	0.5 -4		multi-value stack
FAIL	math/ln.sli	E ln	1.0	1	output mismatch
FAIL	math/log.sli	10.0 log	1.0	1	output mismatch
PASS	math/mod.sli	7 4 mod	3	3	
SKIP	math/modf.sli	2.5 modf	0.5 2		multi-value stack
PASS	math/not.sli	1 2 eq not	true	true	
PASS	math/not.sli	0 not	-1	-1	
PASS	math/or.sli	true  false or	true	true	
PASS	math/or.sli	true  true  or	true	true	
PASS	math/or.sli	false false or	false	false	
PASS	math/or.sli	2     8     or	10	10	
PASS	math/or.sli	1     0     or	1	1	
PASS	math/sin.sli	1.0 sin	0.841471	0.841471	
FAIL	math/sqr.sli	2.0 sqr	4.0	4	output mismatch
FAIL	math/sqrt.sli	4 sqrt	2.0	2	output mismatch
PASS	math/xor.sli	true  false xor	true	true	
PASS	math/xor.sli	true  true  xor	false	false	
PASS	math/xor.sli	false false xor	false	false	
PASS	ps/array.sli	10 array	[0 0 0 0 0 0 0 0 0 0]	[0 0 0 0 0 0 0 0 0 0]	
FAIL	ps/ceil.sli	2.87 ceil	3	May 22 10:17:43 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/ceil' does not exist in dictionary.	output mismatch
FAIL	ps/ceil.sli	1.001 ceil	2	May 22 10:17:43 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/ceil' does not exist in dictionary.	output mismatch
FAIL	ps/floor.sli	1.1 floor ==	1	May 22 10:17:43 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/floor' does not exist in dictionary.	output mismatch
FAIL	ps/floor.sli	2.9 floor ==	2	May 22 10:17:43 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/floor' does not exist in dictionary.	output mismatch
FAIL	ps/round.sli	1.4 round  -	1.0	May 22 10:17:43 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/round' does not exist in dictionary.	output mismatch
FAIL	ps/round.sli	1.5 round  -	2.0	May 22 10:17:43 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/round' does not exist in dictionary.	output mismatch
FAIL	ps/round.sli	2   round  -	2.0	May 22 10:17:43 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/round' does not exist in dictionary.	output mismatch
FAIL	ps/trunc.sli	3.123456 trunc	3	May 22 10:17:43 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/trunc' does not exist in dictionary.	output mismatch
SKIP	regex/_x3aregerror.sli	(\() regcomp_	<regextype> 8 False		multi-value stack
SKIP	regex/_x3aregerror.sli	:regerror =	Unmatched ( or \(		multi-value stack
PASS	regex/grep.sli	[(hello) (world)] (^hell)       grep	[(hello)]	[(hello)]	
PASS	regex/grep.sli	[(hello) (world)] (not in here) grep	[]	[]	
FAIL	regex/grep.sli	[(hello) (world)] ()            grep	[(hello) (world)]	May 22 10:17:43 regcomp [M_ERROR]: empty (sub)expression May 22 10:17:43 SLIFunctionWrapper [M_WARNING]: User routine '/grep' stopped. May 22 10:17:43 SLIFunctionWrapper [M_WARNING]: Reason: A nested routine raised an error. May 22 10:17:43 SLIFunctionWrapper [M_WARNING]: Action: Leaving stack and variable context unchanged for inspection. May 22 10:17:43 SLIFunctionWrapper [M_ERROR]: In function '/grep': May 22 10:17:43 regcomp [M_ERROR]: InvalidRegexError	output mismatch
FAIL	regex/grep.sli	statusdict /prgdocdir get (LICENSE) joinpath (http) grep	[(or visit https://www.nest-simulator.org)]	May 22 10:17:43 SLIFunctionWrapper [M_WARNING]: User routine '/grep' stopped. May 22 10:17:43 SLIFunctionWrapper [M_WARNING]: Reason: A nested routine raised an error. May 22 10:17:43 SLIFunctionWrapper [M_WARNING]: Action: Leaving stack and variable context unchanged for inspection. May 22 10:17:43 SLIFunctionWrapper [M_ERROR]: In function '/grep': May 22 10:17:43 file [M_ERROR]: FileOpenError Could not open the following file for reading: "/Users/gewaltig/Code/sli3/lib/LICENSE".	output mismatch
SKIP	regex/regcomp.sli	1) (.*) regcomp	<regextype>		type-tag placeholder
SKIP	regex/regcomp.sli	(\() REG_EXTENDED regcomp	<ERROR>		intentional error
PASS	regex/regex_find.sli	(hello) (is there a hello hiding) regex_find	true	true	
PASS	regex/regex_find.sli	(hello) (is there a HeLlO hiding) regex_find	false	false	
FAIL	regex/regex_find.sli	(is there a HeLlO hiding)         regex_find	true	May 22 10:17:43 regex_find [M_ERROR]: StackUnderflow Command needs (at least) 2 argument(s), but the stack has only 1.	output mismatch
FAIL	regex/regex_find_r.sli	(is there a HeLlO hiding)         regex_find	true	May 22 10:17:43 regex_find [M_ERROR]: StackUnderflow Command needs (at least) 2 argument(s), but the stack has only 1.	output mismatch
PASS	regex/regex_find_s.sli	(hello) (is there a hello hiding) regex_find	true	true	
PASS	regex/regex_find_s.sli	(hello) (is there a HeLlO hiding) regex_find	false	false	
SKIP	regex/regexec.sli	1) (simple) regcomp	<regextype>		type-tag placeholder
SKIP	regex/regexec.sli	(   simple   ) 0 0 regexec	0  % this 0 indicating success		multi-value stack
SKIP	regex/regexec.sli	2) (simple) regcomp	<regextype>		type-tag placeholder
FAIL	regex/regexec.sli	(   simple   ) 1 0 regexec	[[3 9]] 0	May 22 10:17:43 regexec [M_ERROR]: StackUnderflow Command needs (at least) 4 argument(s), but the stack has only 3.	output mismatch
SKIP	regex/regexec.sli	3) ((parenthesize)+.*example) regcomp	<regextype>		type-tag placeholder
FAIL	regex/regexec.sli	(This is a parenthesize using example) 2 0 regexec	[[10 36] [10 22]] 0	May 22 10:17:43 regexec [M_ERROR]: StackUnderflow Command needs (at least) 4 argument(s), but the stack has only 3.	output mismatch
FAIL	regex/regexec.sli	rx st 0 0 regexec	0	May 22 10:17:43 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/rx' does not exist in dictionary.	output mismatch
FAIL	regex/regexec.sli	rx st 1 0 regexec	[[0 29]] 0	May 22 10:17:43 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/rx' does not exist in dictionary.	output mismatch
FAIL	regex/regexec.sli	rx st 2 0 regexec	[[0 29] [1 7]] 0	May 22 10:17:43 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/rx' does not exist in dictionary.	output mismatch
FAIL	regex/regexec.sli	rx st 4 0 regexec	[[0 29] [1 7] [8 9] [10 28]] 0	May 22 10:17:43 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/rx' does not exist in dictionary.	output mismatch
SKIP	stack/dup.sli	2 dup	2 2		multi-value stack
FAIL	stack/dup.sli	(hello) dup	(hello) (hello)	(hello)	output mismatch
PASS	stack/over.sli	1 2 3 over	2	2	
PASS	stack/over.sli	1 2 3 4 5 over	4	4	
FAIL	stack/roll.sli	(a) (b) (c) 3 1  roll	(c) (a) (b)	(b)	output mismatch
FAIL	stack/roll.sli	(a) (b) (c) 3 -1 roll	(b) (c) (a)	(a)	output mismatch
FAIL	stack/roll.sli	(a) (b) (c) 3 0  roll	(a) (b) (c)	(c)	output mismatch
PASS	types/abs.sli	-3 abs	3	3	
PASS	types/abs.sli	3 abs	3	3	
PASS	types/abs.sli	-3.456 abs	3.456	3.456	
FAIL	types/cva.sli	<< /a 1 /b 2>> cva         -	[/a 1 /b 2]	May 22 10:17:43 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	types/cva.sli	/square trie [/doubletype] { dup mul } addtotrie exch pop cva -	[/doubletype [{dup mul}]]	May 22 10:17:43 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	types/cva.sli	[ << /a 1 >> << /b 2>>] cva -	[[/a 1] [/b 2]]	May 22 10:17:43 cva [M_ERROR]: ArgumentType	output mismatch
FAIL	types/cva.sli	[1 3 -5 2] cv_iv cva        -	[1 3 -5 2]	May 22 10:17:43 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/cv_iv' does not exist in dictionary.	output mismatch
FAIL	types/cva.sli	[1. 3. -5. 2.] cv_dv cva    -	[1. 3. -5. 2.]	May 22 10:17:43 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/cv_dv' does not exist in dictionary.	output mismatch
FAIL	types/cva.sli	[2 10] RangeIterator cva    -	[2 3 4 5 6 7 8 9 10]	May 22 10:17:44 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/RangeIterator_a' does not exist in dictionary.	output mismatch
SKIP	types/cva_t.sli	/pop load cva_t	/pop [/anytype [-pop-]]		multi-value stack
FAIL	types/cvd.sli	3 cvd	3.0	3	output mismatch
FAIL	types/cvd.sli	(23) cvd	23.0	23	output mismatch
PASS	types/cvd.sli	(23.2323) cvd	23.2323	23.2323	
FAIL	types/cvd.sli	(hello) cvd	0.0	May 22 10:17:44 cvd_s [M_ERROR]: ArgumentType	output mismatch
FAIL	types/cvi.sli	3.33 cvi      -	3	May 22 10:17:44 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	types/cvi.sli	2    cvi      -	2	May 22 10:17:44 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	types/cvi.sli	(23) cvi      -	23	May 22 10:17:44 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	types/cvi.sli	(23.2323) cvi -	23	May 22 10:17:44 cvi_s [M_ERROR]: ArgumentType	output mismatch
FAIL	types/cvi.sli	(hello) cvi   -	0	May 22 10:17:44 cvi_s [M_ERROR]: ArgumentType	output mismatch
FAIL	types/cvlit.sli	(joe)   cvlit	/joe	May 22 10:17:44 Unimplemented [M_ERROR]: Operator 'cvn_s' is registered as a stub but not yet implemented. Bootstrap referenced it via `load addtotrie` so the trie surface could be built; runtime calls land here. May 22 10:17:44 cvn_s [M_ERROR]: Unimplemented	output mismatch
PASS	types/cvlit.sli	{ 5 = } cvlit	[5 =]	[5 =]	
FAIL	types/cvn.sli	(joe) cvn	joe	May 22 10:17:44 Unimplemented [M_ERROR]: Operator 'cvn_s' is registered as a stub but not yet implemented. Bootstrap referenced it via `load addtotrie` so the trie surface could be built; runtime calls land here. May 22 10:17:44 cvn_s [M_ERROR]: Unimplemented	output mismatch
PASS	types/cvn.sli	/joe  cvn	joe	joe	
SKIP	types/cvt_a.sli	/pop [/anytype [-pop-]]  cvt_a	trie		stack-effect placeholder
SKIP	types/cvx.sli	(hello) cvx	<proceduretype>		type-tag placeholder
FAIL	types/empty.sli	(hello) empty	(hello) false	false	output mismatch
FAIL	types/eval.sli	(1 2 add) eval              -	3	May 22 10:17:44 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/isstream' does not exist in dictionary.	output mismatch
FAIL	types/eval.sli	([1 2 3] /peter 5 def) eval -	[1 2 3]	May 22 10:17:44 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/isstream' does not exist in dictionary.	output mismatch
PASS	types/max.sli	1   2   max	2	2	
FAIL	types/max.sli	1   2.0 max	2.0	2	output mismatch
PASS	types/max.sli	1.0 2   max	2	2	
PASS	types/min.sli	1   2   min	1	1	
PASS	types/min.sli	1   2.0 min	1	1	
FAIL	types/min.sli	1.0 2   min	1.0	1	output mismatch
SKIP	types/references.sli	<< /x 0 >> dup references	dict dict 2		multi-value stack
SKIP	types/references.sli	[ 0 ] dup references	array array 2		multi-value stack
SKIP	types/symbol.sli	(1 2 hello) symbol	true 1 (2 hello)		multi-value stack
SKIP	types/symbol.sli	({1 2 add}) symbol	true /BeginProcedureSymbol (1 2 add})		multi-value stack
SKIP	types/token.sli	(1 2 hello) token	true 1 (2 hello)		multi-value stack
SKIP	types/token.sli	({1 2 add}) token	true {1 2 add} ()		multi-value stack
PASS	types/type.sli	1 type	/integertype	/integertype	
SKIP	types/variant.sli	/add [/doubletype /doubletype] variant pop -	/add_dd load		multi-value stack
FAIL	types/variant.sli	/add [/doubletype /stringtype] variant     -	false	May 22 10:17:44 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	types/variant.sli	/add [/stringtype /doubletype] variant     -	false	May 22 10:17:44 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
FAIL	types/variant.sli	/ArrayQ [/anytype]             variant pop -	false	May 22 10:17:44 SLIInterpreter::execute [M_ERROR]: UndefinedName Key '/-' does not exist in dictionary.	output mismatch
SKIP	types/variant.sli	/f [/integertype] variant pop -	{(hello) ==}		multi-value stack
